40:2:16|31|cronon|G_5550
40:2:16|32|on|G_3739
40:2:16|33|hkribwsen|G_198
40:2:16|34|para|G_3844
40:2:16|35|twn|G_3588
40:2:16|36|magwn|G_3097
40:2:17|1|eplhrwqh|G_4137
40:2:17|2|to|G_3588
40:2:17|3|rhqen|G_2046
40:2:17|4|dia|G_1223
40:2:17|5|ieremiou|G_2408
40:2:17|6|tou|G_3588
40:2:17|7|profhtou|G_4396
40:2:17|8|legontos|G_3004
40:2:18|1|en|G_1722
40:2:18|2|rama|G_4471
40:2:18|3|hkousqh|G_191
40:2:18|4|klauqmos|G_2805
40:2:18|5|kai|G_2532
40:2:18|6|odurmos|G_3602
40:2:18|7|polus|G_4183
40:2:18|8|rachl|G_4478
40:2:18|9|klaiousa|G_2799
40:2:18|10|ta|G_3588
40:2:18|11|tekna|G_5043
40:2:18|12|auths|G_846
40:2:18|13|kai|G_2532
40:2:18|14|ouk|G_3756
40:2:18|15|hqelen|G_2309
40:2:18|16|paraklhqhnai|G_3870
40:2:18|17|oti|G_3754
40:2:18|18|ouk|G_3756
40:2:18|19|eisin|G_1510
40:2:19|1|de|G_1161
40:2:19|2|tou|G_3588
40:2:19|3|hrwdou|G_2264
40:2:19|4|idou|G_3708
40:2:19|5|aggelos|G_32
40:2:19|6|kuriou|G_2962
40:2:19|7|fainetai|G_5316
40:2:19|8|kat|G_2596
40:2:19|9|onar|G_3677
40:2:19|10|tw|G_3588
40:2:19|11|iwshf|G_2501
40:2:19|12|en|G_1722
40:2:19|13|aiguptw|G_125
40:2:20|1|egerqeis|G_1453
40:2:20|2|paralabe|G_3880
40:2:20|3|to|G_3588
40:2:20|4|paidion|G_3813
40:2:20|5|kai|G_2532
40:2:20|6|thn|G_3588
40:2:20|7|mhtera|G_3384
40:2:20|8|autou|G_846
40:2:20|9|kai|G_2532
40:2:20|10|poreuou|G_4198
40:2:20|11|eis|G_1519
40:2:20|12|ghn|G_1093
40:2:20|13|israhl|G_2474
40:2:20|14|teqnhkasin|G_2348
40:2:20|15|gar|G_1063
40:2:20|16|oi|G_3588
40:2:20|17|zhtountes|G_2212
40:2:20|18|thn|G_3588
40:2:20|19|yuchn|G_5590
40:2:20|20|tou|G_3588
40:2:20|21|paidiou|G_3813
40:2:21|1|de|G_1161
40:2:21|2|egerqeis|G_1453
40:2:21|3|parelaben|G_3880
40:2:21|4|to|G_3588
40:2:21|5|paidion|G_3813
40:2:21|6|kai|G_2532
40:2:21|7|thn|G_3588
40:2:21|8|mhtera|G_3384
40:2:21|9|autou|G_846
40:2:21|10|kai|G_2532
40:2:21|11|eishlqen|G_1525
40:2:21|12|eis|G_1519
40:2:21|13|ghn|G_1093
40:2:21|14|israhl|G_2474
40:2:22|1|de|G_1161
40:2:22|2|oti|G_3754
40:2:22|3|arcelaos|G_745
40:2:22|4|basileuei|G_936
40:2:22|5|ths|G_3588
40:2:22|6|ioudaias|G_2449
40:2:22|7|anti|G_473
40:2:22|8|tou|G_3588
40:2:22|9|patros|G_3962
40:2:22|10|autou|G_846
40:2:22|11|hrwdou|G_2264
40:2:22|12|efobhqh|G_5399
40:2:22|13|ekei|G_1563
40:2:22|14|apelqein|G_565
40:2:22|15|crhmatisqeis|G_5537
40:2:22|16|de|G_1161
40:2:22|17|kat|G_2596
40:2:22|18|onar|G_3677
40:2:22|19|anecwrhsen|G_402
40:2:22|20|eis|G_1519
40:2:22|21|ta|G_3588
40:2:22|22|merh|G_3313
40:2:22|23|ths|G_3588
40:2:22|24|galilaias|G_1056
40:2:23|1|elqwn|G_2064
40:2:23|2|katwkhsen|G_2730
40:2:23|3|eis|G_1519
